"SetID","english","italiano","japanese","chinese"
"Language","English","Italiano","日本語","中文"
"Title","EchoDemo","EchoDemo","エコーデモ","回音演示"
"Theme","How echo chambers emerge from social media","Come si crea la polarizzazione sui social media","エコーチェンバーはどのようにしてソーシャルメディアから生じるのか","回音室在社交网络中是如何诞生的"
"Scenario","Scenario","Scenario","シナリオ","场景"
"Default","Default","Predefinito","初期値","初始值"
"AdvancedParameters","Advanced Parameters","Parametri avanzati","高度なパラメータ","重要参数"
"Tolerance","Tolerance","Tolleranza","許容範囲","容忍度"
"ToleranceDiscription","Tolerance defines how agents deal with different opinions. Messages reflecting opinions within this range from an agent’s own opinion are considered as concordant, otherwise as discordant. Concordant messages can influence an agent’s own opinion. Furthermore, an agent will occasionally unfriend neighbors who post discordant messages.","La tolleranza determina come gli agenti reagiscono ad opinioni diverse. I messaggi le cui opinioni cadono entro questo intervallo centrato sull'opinione dell'agente sono considerati concordanti, altrimenti sono discordanti. I messaggi concordanti influenzano l'opinione dell'agente. Inoltre, un agente può occasionalmente togliere l'amicizia a quei vicini che postano messaggi discordanti.","許容範囲とは異なる意見に対する寛容性のことです。各個人は自分の意見をもっていて、それをメッセージとして投稿します。友人のメッセージが自分の許容範囲にある場合は「合うメッセージ」、そうでない場合は「合わないメッセージ」とみなします。自分に合うメッセージから個人は影響を受けます。そして、自分に合わないメッセージを投稿する友人をしばしばアンフォローします。","该参数定义了用户对于不同观点的忍受程度。每条消息会反映某一观点值，我们把与当前主体观点相近的消息称为一致消息，反之称为不一致消息。一致消息会影响当前主体自身的观点。同时，当前主体可能会取消关注发布不一致消息的已关注用户。"
"Low","Low","Basso","低","低"
"Medium","Medium","Medio","中","中"
"High","High","Alto","高","高"
"Influence","Influence","Influenza","社会的影響","受影响度"
"InfluenceDiscription","An agent’s opinion is updated to become more similar, on average, to those reflected in concordant messages from neighbors. The influence controls how fast this happens.","L'opinione di un agente è aggiornata in modo tale da avvicinarsi alla media delle opinioni rispecchiate nei messaggi concordanti dei propri vicini. L'influenza controlla la velocità di tale processo.","各個人の意見は、その人に合うメッセージから影響を受けて変化し、次第に友人たちの意見に似ていきます。社会的影響のパラメータは、この変化の速さを調整します。","每个主体的观点会被与他观点相近的消息所影响。平均来说，每个主体的观点会更新，并趋近于那些与他观点相近的消息。该参数控制主体观点向相近消息更新的速度。"
"Off","Off","Spento","なし","关"
"Weak","Weak","Debole","弱","弱"
"Strong","Strong","Forte","強","强"
"Unfriending","Unfriending","Rompere l'amicizia","アンフォローの頻度","取消关注"
